gene_symbol,protein_name,verdict,include_in_analysis,exclusion_category,surface_notes,internalization_notes,therapeutic_window_notes,pk_notes,safety_notes,competition_notes,physiology_notes,oncogenic_notes,isoforms_notes,toolbox_notes,monospecific_feasible,bispecific_rationale,recommended_gating,key_concerns,recommendation,last_updated,updated_by
TNFRSF10C,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
NT5E,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
SDC2,,Excluded,false,Stromal Marker,,,,,Surface marker from scRNA-seq (Fibroblast),,,,,,No,,N/A,Surface marker from scRNA-seq (Fibroblast),Excluded: Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
BLK,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
CELSR1,Cadherin EGF LAG Seven-Pass G-type Receptor 1 (Adhesion GPCR),Excluded,false,Poor Topology,"7-TM Adhesion GPCR with MASSIVE extracellular region (9 cadherin repeats, 7 EGF-like repeats, 2 laminin G domains). Strictly localizes to cell-cell junctions (adherens junctions) in polarized epithelia—sterically hindered from antibody binding. Upregulated in ovarian cancer. Sources: Human Protein Atlas; OMIM 604523; PubMed 38070011","CRITICAL BOTTLENECK. As junctional adhesion protein, designed for STABILITY not cycling. Internalization is cell-cycle dependent: PLK1 phosphorylation triggers internalization only during MITOSIS (M-phase specific uptake). Interphase cells = static receptor. Limits efficacy to actively dividing cells only. Sources: PMC7808676; PNAS","Upregulated in ovarian cancer (Priority 2) with poor prognosis. BUT: essential for polarity of hair follicles and skin, neural tube development. High expression in normal skin and nervous system. Sources: PMC9878842; OMIM",Adhesion GPCRs contain GAIN domain undergoing autoproteolysis. Massive ectodomain (~2500 aa) can be shed = large decoy. Expression enriched on B-cells = potential sink. Sources: PMC papers,"Essential developmental gene. Loss-of-function mutations cause NEURAL TUBE DEFECTS (spina bifida, craniorachischisis) and lymphatic malformation-9 (OMIM 619319). Risk of cutaneous toxicity (alopecia, rash), potential neurotoxicity. Sources: OMIM 604523; PMC9878842",No ADC programs. Research focused on developmental biology and Wnt/PCP signaling. Sources: Literature,,,,,No,"Claude excludes due to 7TM topology and internalization issues. Gemini suggests AND-gate (CELSR1 x MUC16/FOLR1) for ovarian. Given multiple red flags, NOT recommended.",N/A,DISPUTED: 7-TM topology limits epitope access; junctional localization sterically hinders antibody; M-phase only internalization; neural tube defect genetic disease; skin/nerve normal expression,EXCLUDED - 7-TM adhesion GPCR topology with junctional localization severely limits ADC feasibility. M-phase restricted internalization. Essential developmental gene with neural tube defect risk.,2026-02-03T21:23:51.864547,"P2 batch import (Claude: Excluded, Gemini: Conditional → Excluded)"
KLRB1,,Excluded,false,NK-cell,,,,,CD161 - NK cell marker,,,,,,No,,N/A,CD161 - NK cell marker,Excluded: NK-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString)
FOLR2,Folate Receptor Beta (FRbeta),Excluded,false,Not on Tumor Cells,"GPI-anchored (similar to FOLR1); ~205 aa mature protein entirely extracellular; CRITICAL: Unlike FOLR1 (epithelial cancer cells), FOLR2 is predominantly on MYELOID CELLS - M2 macrophages, TAMs, monocytes",DOCUMENTED: High-affinity folate binding (Kd ~0.1-1 nM); CDC42-dependent endocytosis with lysosomal trafficking; FRbeta-targeted immunotoxins successfully depleted TAMs in mouse models,"WRONG PARADIGM: FOLR2 targeting would NOT kill tumor cells directly - would DEPLETE IMMUNOSUPPRESSIVE TAMs; BUT also circulating monocytes and tissue-resident macrophages (Kupffer, alveolar)","MAJOR RED FLAGS: Circulating monocyte expression = massive TMDD and sink; GPI-anchored = can be cleaved releasing soluble FOLR2; tissue macrophages (liver, spleen, lung) = rapid RES clearance","CRITICAL: Not essential (macrophage-specific); no OMIM disease from FOLR2 LoF; BUT depleting tissue-resident macrophages (Kupffer, alveolar) = significant immunotoxicity and infection risk",FOLR1 precedent: Elahere (mirvetuximab soravtansine) FDA-approved for platinum-resistant ovarian - validates folate receptor family; No FOLR2-targeted ADC in clinical trials,,,,,No,N/A for tumor-cell-directed ADC; could theoretically be used for TAM-modulating bispecifics but this is different therapeutic strategy,N/A,FOLR2 is NOT expressed on tumor cells - only on macrophages; circulating monocyte sink; tissue macrophage toxicity; TAM depletion may increase infection susceptibility,EXCLUDED for tumor-cell-directed cytotoxic ADC. FOLR2 fundamentally does not fit ADC paradigm. May be appropriate for TAM-reprogramming or non-cytotoxic immunomodulatory payloads.,2026-02-03T22:48:39.346929,S1 batch (Claude+Gemini combined)
MUC13,Mucin-13,Recommended,true,"","Type I TM with large N-terminal ECD containing mucin tandem repeats (heavily O-glycosylated), 3 EGF-like domains, SEA module; extends 200-2000 nm from surface - excellent accessibility","VALIDATED: TCC56-DT3C ADC confirmed surface binding, receptor-mediated endocytosis, lysosomal trafficking for payload release in pancreatic cancer cells","GOOD: 100% PDAC expression; overexpressed in CCA (EGFR/PI3K/AKT axis), ovarian (81% strong), colorectal, gastric; aberrant lateral surface in cancer vs apical in normal",MODERATE: SEA module autoproteolytic cleavage may shed alpha-subunit; serum MUC13 detected in patients = potential antigen sink; no blood cell expression,"MODERATE: Normal GI tract, kidney, trachea expression = GI toxicity risk (common ADC AE); NOT essential (DepMap); NOT tumor suppressor (oncogenic)","No MUC13-ADC in clinical trials - FIRST-MOVER OPPORTUNITY; Preclinical TCC56-DT3C; Related: MUC1, MUC16, MUC17 ADCs in development",,,,,Yes,Bispecific with CLDN3 or EGFR could improve therapeutic index for CCA; MUC13 favorable internalization + partner selectivity,Either,Serum MUC13 shedding could create antigen sink; GI toxicity expected (manageable),"RECOMMENDED: Ideal Type I TM topology, validated ADC PoC, uncompeted clinical landscape, CCA coverage. GI toxicity is common to successful ADC programs.",2026-02-03T22:48:39.346929,S1 batch (Claude+Gemini combined)
TYROBP,,Excluded,false,Immune Marker,,,,,Surface marker from scRNA-seq (Myeloid),,,,,,No,,N/A,Surface marker from scRNA-seq (Myeloid),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
CD207,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
IL12RB1,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
FXYD5,,Excluded,false,Immune Marker,,,,,Surface marker from scRNA-seq (T cell),,,,,,No,,N/A,Surface marker from scRNA-seq (T cell),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
IGF2R,Insulin-Like Growth Factor 2 Receptor / CI-M6PR,Excluded,false,Tumor suppressor,"Type I TM (~300 kDa) with HUGE ECD (~2,300 aa) containing 15 homologous repeat domains; well-characterized cell surface receptor; IGF2 binds domain 11, M6P binds domains 3,5,9,15","EXCELLENT - one of best-characterized internalizing receptors; constitutive cycling between PM, Golgi, and lysosomes via clathrin-mediated endocytosis; used for LYTAC technology demonstrating robust lysosomal delivery","UBIQUITOUS - present in virtually all human tissues; CRITICAL: TUMOR SUPPRESSOR GENE - LOH documented in 30-70% of HCC, breast, prostate, HNSCC, ovarian, lung; expression DECREASES in aggressive tumors",Soluble/truncated IGF2R form circulates in blood creating decoy effect; copy number high on most cells,"LOH associated with HCC, breast, prostate cancer; Igf2r KO causes embryonic overgrowth and perinatal lethality; functions to CLEAR IGF2 and ACTIVATE TGF-β - blocking would PROMOTE tumor growth",No ADC programs - used instead as TOOL for LYTACs (receptor recruiting not targeting); multiple companies use IGF2R for targeted degradation of OTHER proteins,,,,,No,Gemini proposes as 'lysosomal shuttle' enabler but tumor suppressor function creates fundamental problem; any IGF2R engagement could impair tumor suppressor activity,N/A,TUMOR SUPPRESSOR - lost/downregulated in cancer (inverse correlation); ubiquitous normal expression; soluble circulating form (decoy); blocking would PROMOTE tumor growth via increased IGF2 signaling,Do not advance - IGF2R excellent as TOOL for LYTACs but fundamentally inappropriate as ADC TARGET; tumor suppressor biology means targeting would be counterproductive,2026-02-03T22:22:08.086304,R2 Batch Processing (Claude+Gemini)
SLC16A3,Solute Carrier Family 16 Member 3 / Monocarboxylate Transporter 4 (MCT4),Excluded,false,Poor Topology,"12-TM multi-pass protein—CRITICAL RED FLAG. Both N- and C-termini are INTRACELLULAR. Very small extracellular loops. IHC: membrane staining in pancreatic, bladder, lung cancers. Requires CD147/BSG for proper membrane localization. Sources: Human Protein Atlas; GeneCards","CRITICAL GAP—multi-pass topology problem. No antibody internalization or lysosomal trafficking data. 12-TM transporters with small ECD loops present fundamental challenges: limited epitopes, typically slow/poor internalization, may recycle not lysosome. Sources: General ADC literature","EXCELLENT tumor biology. Strong tumor-selective overexpression driven by HIF-1α hypoxia and Warburg effect. Significantly upregulated in RCC, bladder, lung adenocarcinoma, pancreatic, HCC, prostate, ovarian vs normal. Normal expression much lower except white/glycolytic muscle. High expression = poor prognosis. Sources: Clinical Cancer Research; TCGA/bioinformatics",No known shedding. Expression on activated macrophages (lower than tumor). Astrocyte expression in brain. Sources: Cell Signaling Technology; PubMed,NOT essential—knockdown tolerated (compensated by MCT1). No severe genetic diseases from LOF. High expression in skeletal muscle (white/glycolytic fibers) = potential muscle toxicity. NOT tumor suppressor—overexpression correlates with worse prognosis. Sources: DepMap; Clinical Cancer Research,"Small molecule MCT4 inhibitors in active preclinical (VB124, syrosingopine). NO ADC programs—likely due to 12-TM topology challenges. Better suited for small molecules. Sources: Clinical Cancer Research; J Immunother Cancer",,,,,No,"Gemini suggests potential as tumor anchor for non-internalizing bispecific (BiTE), not ADC. Claude notes topology fundamentally prevents ADC approach.",N/A,12-TM multi-pass topology with small ECD loops = fundamentally unsuitable for antibody; no accessible extracellular domain; no internalization data; EXCELLENT tumor biology but wrong modality,"EXCLUDED (as ADC target) - Both models agree 12-TM topology incompatible with ADC. EXCELLENT tumor biology—pursue with SMALL MOLECULE INHIBITORS (already in development), not antibody-based modalities.",2026-02-03T21:23:51.864563,"P2 batch import (Claude: Excluded, Gemini: Conditional → Excluded for ADC)"
CD151,CD151 Antigen (Tetraspanin),Conditional,true,"",Multi-pass tetraspanin; RBC (Raph) expression,Best-in-class internalization,Kidney/platelet/RBC concern,RBC sink concern,"Kidney glomerulus, platelet expression",Novel internalization engine concept,,,,,No,Low-affinity internalization engine partner,AND-gate,RBC/platelet/kidney expression; low-affinity bispecific only,CONDITIONAL: Internalization engine concept,2026-02-04T16:04:06.711927,R4 batch (Claude+Gemini combined)
EFNB2,Ephrin-B2 (Transmembrane Ligand for EphB Receptors),Recommended,true,"","Type I TM with ephrin domain ECD (~200 aa); validated cell surface transmembrane ligand; expression in arterial endothelium, neurons, tumors",DOCUMENTED: EphB4-Fc binding induces surface clustering and rapid internalization (15-60 min); controls VEGFR2/VEGFR3 internalization; EphB2-MMAE ADC showed CRC model efficacy,"Overexpressed in HNSCC, pancreatic adenocarcinoma, bladder, GBM, MM; high correlates with POOR prognosis (HNSCC: 27 vs 55 months OS); arterial endothelial marker limits window",May be subject to ADAM-mediated shedding; bidirectional signaling affects both forward (EphB) and reverse (EFNB2) signaling,Mutations cause Cholestasis and AV Malformation; essential for cardiovascular development; anti-ephrinB2 reduced blood/lymphatic vessel formation; EphA2 ADC class had bleeding/toxicity,No direct EFNB2 ADC in trials; sEphB4-HSA in development; EphA2 ADC (MEDI-547) discontinued due to toxicity; anti-ephrinA4 ADC (PF-06647263) terminated,,,,,Marginal,"Arterial endothelial expression requires AND-gate with tumor-specific antigen (EDB, FAP) to reduce vascular uptake and mitigate hemorrhage risk; vascular disruption strategy possible",AND-gate,ARTERIAL endothelial expression creates vascular toxicity/hemorrhage risk; anti-angiogenic mechanism may impair drug delivery; complex bidirectional signaling pharmacology,RECOMMENDED - strong HNSCC prognosis correlation; documented internalization; bispecific format essential for vascular safety; consider tumor vascular disruption strategy,2026-02-03T22:22:08.086267,R2 Batch Processing (Claude+Gemini)
LSR,Lipolysis-Stimulated Lipoprotein Receptor,Recommended,,"","Type I TM with Ig-like ECD and lysosomal targeting signals. In normal epithelium (liver, intestine), LSR is strictly localized to tricellular tight junctions, sequestered from circulating antibodies. In tumors (ovarian, breast, mesothelioma), loss of polarity exposes LSR across entire cell surface—""topological switch"" creates intrinsic therapeutic window. Strong IHC membrane localization in OVCAR3, NOVC-7C. Sources: UniProt Q86X29; Kanda et al. Neoplasia 2023; Frontiers Oncology 2025",Excellent ADC validation. Anti-LSR mAb (#16-6) and LSR-ADC rapidly internalize with co-localization with LAMP1/CD107a in OVCAR3 cells. Dileucine lysosomal targeting signal in cytoplasmic domain supports efficient delivery. LSR-ADC (MMAE) showed potent in vitro and in vivo efficacy with tumor regression. Sources: Kanda et al. Neoplasia 2023 (PMID: 36413881); Hiramatsu Cancer Res 2018,"Strong tumor overexpression: ovarian (60-73%), gastric (73%), endometrial (67%), colon, bladder. Liver expression concern in hepatocytes (original identification as lipoprotein receptor), but junctional sequestration means accessible protein pool in healthy liver is LOW. High-dose preclinical (24 mg/kg) showed no hepatotoxicity. Sources: Human Protein Atlas; Sugase Oncotarget 2018; Patent US10174111B2",No evidence of shedding. Stable membrane localization (C. difficile toxin CDT receptor). Not on circulating blood cells. Preclinical studies showed no adverse effects on normal organs or lipid metabolism. Sources: OMIM; Cancer Res 2018,LSR-null is embryonic lethal in mice; heterozygous mice show hyperlipidemia. LSR mutations associated with cholestasis. NOT a tumor suppressor—high expression correlates with poor prognosis. Not pan-essential in DepMap. Sources: OMIM 616582,Academic preclinical program (Osaka University) with anti-LSR mAb and LSR-ADC (MMAE). Patent issued US10174111B2. Anti-LSR-DM1 construct described. No clinical trials registered. First-in-class opportunity. Sources: Neoplasia 2023; ClinicalTrials.gov; Frontiers Oncology 2025,,,,,Yes,"AND-gating with tumor-selective marker could reduce liver uptake. Proposed pairings: LSR x FZD6 (Wnt-active stems in mesothelioma/HNSCC), LSR x EMP2 (""Stealth ADC"" for mesothelioma/ovarian cross-linking distinct membrane domains).",AND-gate,Liver expression in hepatocytes; embryonic lethality in knockout mice; academic-stage only,"RECOMMENDED - Strong Tier 1 candidate. Topological switch (junctional sequestration in normal vs exposed in tumor) provides intrinsic therapeutic window. Validated ADC PoC with lysosomal trafficking. Priority for ovarian, mesothelioma, gastric.",2026-02-05T14:15:16.937282,P1 batch import (Claude + Gemini consensus)
PCDHGC3,Protocadherin Gamma-C3 (PCDH2),Excluded,false,Tumor Suppressor / CNS Expression,"Type I TM with large ECD (6 cadherin repeats, ~900 aa). IHC confirms membrane localization in brain endothelial cells, glioma, neurons. Favorable topology for antibody binding. Sources: UniProt Q9UN70; Dilling et al., J Cereb Blood Flow Metab 2017",No published antibody-mediated internalization data. Protocadherins form stable homophilic trans-interactions. Cadherin family generally slow-internalizing. P-Cadherin ADC PCA062 discontinued for insufficient efficacy. Sources: ADC landscape review 2023,"TUMOR SUPPRESSOR: silenced by methylation in 60.7% CRC, downregulated in ccRCC, pheochromocytoma. In gliomas, overexpressed but high expression = better prognosis. High normal expression in all brain regions. Not expressed in priority indications (cervical, CCA, HNSCC, mesothelioma). Sources: PMC9330298; Biorxiv 2024.08.26.609687",ECD cleaved by ADAM10/gamma-secretase creating potential soluble decoy. Brain endothelial expression represents significant antigen sink. No blood cell expression. Sources: PMC5624389,Pcdhg C-type isoforms required for postnatal survival in mice. Regulates cortical interneuron programmed cell death. KO in BMECs increases paracellular permeability and reduces BBB barrier function. Associated neurodevelopmental disorders (OMIM 603627). Sources: eLife 2020; PMC9241426,No ADC programs. P-Cadherin ADC PCA062 (cadherin family precedent) discontinued. Sources: ClinicalTrials.gov,"Calcium-dependent cell adhesion. Uniquely inhibits canonical Wnt/beta-catenin signaling among gamma-Pcdh isoforms via Axin1 binding. Also inhibits mTOR signaling. Critical for cortical interneuron survival and BBB integrity. Sources: Mah et al., Sci Rep 2016; eLife 2020","DEFINITIVE TUMOR SUPPRESSOR. Silenced by methylation in CRC, acts as metastasis suppressor in ccRCC (via mTOR/HIF2alpha). Expression loss characterizes malignant progression. Sources: Dallosso et al., 2012; Mah et al., 2016; Biorxiv 2024.08.26.609687",One of 22 genes in Pcdhg cluster. Each variable exon encodes unique ECD and TM domain; all share constant region intracellular exons. No soluble or tumor-specific isoforms. Sources: NCBI Gene 5098; Ensembl ENSG00000240184,"Antibodies: Sigma clone 1C4; Boster Bio (WB/FACS/IHC). Cell lines: U343, 786-O, RCC4, U87. Pcdhg conditional KO mice exist. No ADC benchmarks. Sources: Sigma SAB1404174; PMC9330298",No,Not applicable -- target absent from tumors due to epigenetic silencing.,N/A,Tumor suppressor silenced in target cancers; high brain/BBB expression; required for neuronal survival; no internalization data; P-Cadherin ADC failed clinically,Fundamentally incompatible with ADC targeting. Tumor suppressor biology means absent in tumors and present in critical normal tissues.,2026-02-24T22:08:35.684718,"E1 batch (Claude+Gemini combined, expanded 10-category prompt)"
TMEM63B,Transmembrane Protein 63B (Mechanosensitive cation channel),Excluded,false,Multi-Pass Topology / Essential Gene,"Multi-pass with 11 TM helices (cryo-EM confirmed: PDB 8EHX, 8XW4). Minimal extracellular surface-accessible area. Short loops connecting TM helices. Multi-pass topology with tiny ECLs is absolute disqualifier. Sources: PDB 8EHX; Nature Struct Mol Biol 2024; HPA",No antibody-mediated internalization data. No anti-ECD antibodies exist to test. Naturally localizes to lysosomes but no accessible epitope for antibody binding. Sources: Nature Struct Mol Biol 2024,"Ubiquitous expression; no tumor selectivity. Expressed in brain, lung, kidney, intestine. HPA: low tissue specificity. No evidence of overexpression in any priority cancer type. Sources: HPA ENSG00000137216; Neuron 2025",Not expected to be shed (tightly membrane-integrated). HPA reports immune cell expression -- potential sink. Multi-pass topology provides no targetable epitope. Sources: HPA; GeneCards,"Severe LOF phenotypes: DEE118 (drug-resistant epilepsy, developmental delay, spastic quadriparesis). Mouse KO: progressive hearing loss, thirst/water homeostasis deficits, respiratory failure, impaired intestinal function. Essential for osmoregulation, hearing, respiration. Sources: AJHG 2023 (DEE118); Neuron 2025; JCI 2024",No ADC programs. Complete absence reflects unsuitable multi-pass topology. Sources: ClinicalTrials.gov,"Mechanosensitive calcium-permeable cation channel. Functions: hyperosmolar sensor for thirst (subfornical organ), lipid scramblase, lung surfactant secretion mediator, intestinal motility regulator. Sources: Nature Struct Mol Biol 2024; Neuron 2025; JCI 2024",No clear oncogenic role. Overexpression in HEK293T enhanced cell migration. One publication describes as 'frequently overexpressed in cancer' without systematic analysis. No driver role in priority indications. Sources: Biochemistry 2019; Nat Commun 2023,"RNA editing affects splicing patterns. Multiple transcript variants, all predicted multi-pass TM. No soluble or tumor-specific isoforms. Sources: J Biol Chem 2020; AJHG 2023",Research antibodies exist but target intracellular epitopes. No validated anti-ECD antibodies. Tmem63b KO mice available. Cryo-EM structures available. No tumor cell lines with validated surface expression. No ADC benchmarks. Sources: Santa Cruz; PDB,No,Not applicable -- no extracellular epitope accessible for antibody binding.,N/A,"11-TM multi-pass topology; no validated anti-ECD antibodies; ubiquitous expression; severe LOF phenotypes (epilepsy, hearing loss, respiratory failure); no oncogenic role",Absolute exclusion. 11-TM topology eliminates antibody-based targeting; ubiquitous expression and severe LOF phenotypes compound this.,2026-02-24T22:08:35.684718,"E1 batch (Claude+Gemini combined, expanded 10-category prompt)"
TMEM30A,"Transmembrane Protein 30A (CDC50A, P4-ATPase Flippase Complex Beta Subunit)",Excluded,false,Essential Gene / Tumor Suppressor,"Type III membrane protein (2 TM domains, single ~200 aa ECL). Favorable ECD size. However, significant fraction resides intracellularly (ER, endosomes), chaperoning P4-ATPases. Accessible surface density lower than total expression suggests. Sources: OMIM 611028; Segawa et al., J Biol Chem 2018",No antibody-mediated internalization data. TMEM30A cycles between PM and endosomes during normal function. Deficiency impairs EGF and transferrin endocytosis. No ADC PoC. Sources: GeneCards; PMC10464243,"UBIQUITOUS in all normal tissues. RT-PCR in all mouse tissues. HPA: granular cytoplasmic expression in most tissues. TMEM30A loss, not overexpression, is the cancer pattern (DLBCL). No tumor-selective overexpression. Sources: HPA ENSG00000112697; Zhang et al., 2017","Not expected to be shed. Expressed on hematopoietic cells -- KO causes PS exposure and macrophage engulfment. Blood cell expression = significant antigen sink. Sources: Li et al., Am J Pathol 2018; PNAS 2024","Global KO embryonic lethal. Panneuronal KO also embryonic lethal. Retinal KO: complete retinal degeneration. Hepatic KO: intrahepatic cholestasis. Essential for 10+ P4-ATPases. Sources: OMIM 611028; Nature Med 2020; Liu et al., Am J Pathol 2017",No ADC programs. Absence reflects unfavorable biology. Sources: ClinicalTrials.gov,Obligate beta-subunit of P4-ATPase flippase complexes catalyzing phosphatidylserine/PE translocation. Maintains fundamental membrane phospholipid asymmetry in all eukaryotic cells. Partners with 10+ P4-ATPase alpha subunits. Loss exposes PS (eat-me signal). Sources: GeneCards; OMIM; UniProt Q9NV96,CONFIRMED TUMOR SUPPRESSOR in DLBCL (Nature Med 2020). Biallelic LOF mutations in 11% DLBCL. GISTIC identifies TMEM30A locus as significantly deleted. TMEM30A loss increases BCR signaling and enables immune evasion via PS-mediated TIM-3 inhibition. No oncogenic role in solid tumors. Sources: Nature Med 2020; PNAS 2024,Three isoforms by alternative splicing (canonical 361 aa). Paralog TMEM30B exists. No soluble or tumor-specific isoforms. All share ECL domain. Sources: UniProt Q9NV96,"Polyclonal anti-ECD antibodies available (Creative Diagnostics). Nature Med 2020 noted absence of reliable TMEM30A antibody for KO verification. Cell lines: DOHH-2, Karpas422 (hematological). CRISPR KO vectors and conditional KO mice available. No ADC benchmarks. Sources: Nature Med 2020; Creative Diagnostics",No,Not applicable -- ubiquitous expression; tumor suppressor biology.,N/A,Tumor suppressor in DLBCL; ubiquitous expression; embryonic lethal KO; essential for membrane biology; hematopoietic sink; no reliable antibodies,"Fails on multiple absolute criteria: tumor suppressor, ubiquitously expressed, essential for membrane biology in every cell type.",2026-02-24T22:08:35.684718,"E1 batch (Claude+Gemini combined, expanded 10-category prompt)"
SLC7A1,Cationic Amino Acid Transporter 1 (CAT-1),Conditional,,"","Multi-pass (14 TM domains). Small ECLs. Third ECL (TM5-TM6) is largest, serves as murine leukemia virus receptor confirming extracellular positioning. N-glycosylation confirmed in this loop. Anti-CAT1 mAbs (CA1-CA5) validate surface binding by flow cytometry. Sources: Closs et al., 2006; PMC7894011","Anti-CAT1 mAbs (CA1-CA5, PMC7894011) demonstrate rapid internalization upon binding. Transporter constitutive cycling facilitates endocytosis. Related SLC3A2/CD98 has successful ADC PoC. No lysosomal trafficking data specific to SLC7A1. Sources: PMC7894011; PMC11088350","Ubiquitous in non-hepatic tissues. Overexpressed in ovarian cancer (IHC confirmed), CRC (>70% samples), breast cancer, meningioma, cervical cancer. Ovarian cancer data strongest for priority indications. Ubiquitous baseline narrows window. Sources: PMC9484923; Cancer Med 2024; HPA","Not expected to be shed (14-TM, intracellular termini). SLC7A1 is primary arginine transporter in T cells -- T cell expression creates significant antigen sink. Small ECLs mean per-cell antibody-accessible epitope density is low. Sources: Werner et al., 2016; GeneCards","Slc7a1 KO mice die at postnatal day 1 (severe anemia, defective erythropoiesis). Essential gene. Knockdown impairs T cell proliferation (immunosuppression risk). Critical for arginine transport feeding NO synthesis, polyamine biosynthesis, mTORC1 signaling. Sources: MGI:88117; Nature Cell Death Discovery 2025",No existing ADC programs. Related: anti-SLC3A2/CD98 ADC has preclinical efficacy in HNSCC. Anti-CAT1 mAbs (CA2) show unconjugated antitumor activity in CRC xenografts. Sources: PMC7894011; PMC11088350,"Primary high-affinity transporter for cationic amino acids (arginine, lysine, ornithine). Sodium-independent facilitated diffuser (system y+). KM=0.11 mM for arginine. Feeds arginine into NO synthesis, polyamine biosynthesis, mTORC1 signaling. Sources: UniProt P30825; Nature Commun 2018","Oncogene-like profile. Overexpressed in ovarian cancer (promotes proliferation, invasion, cisplatin resistance via MAPK/ERK and EMT). Anti-SLC7A1 mAb showed antitumor activity in CRC. Supports tumor metabolic reprogramming. NOT a tumor suppressor -- tumors are addicted to its expression. Sources: PMC9484923; Cancer Med 2024",11 Ensembl transcripts. Canonical 629 aa. Functions as monomer (unlike LAT family). No known soluble isoforms or tumor-specific variants. Sources: GeneCards,"Anti-CAT1 mAbs (CA1-CA5, rat, research-grade) validated for flow cytometry, internalization, in vivo antitumor. Proteintech 14195-1-AP (WB/IHC). Cell lines: SKOV3, OVCAR3, MCF-7, FADU, SCC15. Slc7a1 KO mice die at birth (conditional KO needed). No ADC benchmarks. Sources: PMC7894011; Proteintech",No,"SLC7A1 as internalizing Driver arm in AND-gate format. Tumor metabolic addiction prevents target downregulation. Pair with tumor-restricted Anchor. Alternative: SLC3A2/CD98 (same biological axis, Type I TM, existing ADC PoC).",AND-gate,14-TM multi-pass topology (mitigated by CA1-CA5 mAb data); neonatal lethal KO; T cell expression (sink + immunosuppression); ubiquitous baseline; research-grade mAbs only,Conditional: only oncogenic gene in E1 batch with validated antibody accessibility. Anti-CAT1 mAbs overcome topology barrier. Safety/PK profile needs experimental validation. Consider SLC3A2/CD98 as alternative in same biological axis.,2026-02-24T22:08:35.684718,"E1 batch (Claude+Gemini combined, expanded 10-category prompt)"
